Country code,WT No.,Type,Catalogue,Short descr. (EN) 8 char,LEN,Short descr. (local language) 8 char,LEN,Long descr. (EN) 25 char,Long descr. (local language) 25 char,Short explanation  EN (255 char),Short explanation  local language (255 char),Displayed on payslip,"GLOBAL
Scope","A
Employee","B
Temp/ Seas empl","C
Apprentice","D
Students ","F
Expatriate","G
Inpatriate","1/2
Externals",Contractor,"L
Technical Group","other (E,I,K,L)","GLOBAL
Assignment",HR Process,Local Contact person (based on info from process),C&B BW Category,C&B BW Sub-Category,"GLOBAL
Input",Symbolic accounts,"Entered with + / -
(Payment +, Deduction -)",Amount /Unit,Min. limit,Max. limit,Infotype-0008,Infotype-0014,Infotype 9770 (subtypes available),Infotype 0019 (Subtype),Infotype-0015,"LOCAL
Configuration",Infotype-2010,Gross/Net?,Income Category,工资总额(法律）系统里无对应的工资项,Calculate into Monthly Gross Income -Actaul payment(payslip),Labor Union Base /191,Calculate into Monthly Taxable Income (/103)?,Monthly Net Income for Gross-up (Tax paid by ER) /104 ?,Pre-tax Gross Deduction?,Pre-tax Net Deduciton?,Post-tax Deduction? /110,Social security base  /150,Annual salary base for Statutory Leave (prevoius 12 months),Annual salary base for Severance (prevoius 12 months) /192,Annual salary base for STI  ,OT hourly rate base?,leave deduction daily rate base?,Only for GL posting?,SAP Auto-Calculating,How Amount calculated ?,Newly Add,Infotype,Information need to be maintained,Remarks,Selection,C&B,T&A,Mobility,Payroll,Separation,Company,BCL,BMSC,BMSM,BTES,BHC,BCS,BSA,GBMS,BMSQ,BTPU,GL Account,BCL ,Column 85,BMSC,BMSC,BMSM,Column 89,BTES,Column 91,BHC,Column 93,BCS,Column 95,BSA,Column 97,GBMS,Column 99,BMSQ,Column 101,BTPU,Column 103,Comments,Symbolic (Debit),"Symbolic
(Credit)",Symbolic Account Group Text
CN,2204,Payment,Social Security,A PHF EE,8,住房公积金个人调整,9,Adj PHF EE contribution,住房公积金个人调整部分,Adjusted Housing Fund employee contribution,住房公积金个人调整部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,X,,,Gross,Salary,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,2205,Payment,Social Security,A PHF ER,8,住房公积金公司调整,9,Adj PHF ER contribution,住房公积金公司调整部分,Adjusted Housing Fund company contribution,住房公积金公司调整部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,X,,,Gross,Salary,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,2206,Store,Social Security,B/SHou,6,补充住房公积金基数,9,Supple. PHF  base,补充住房公积金基数,Base for Supplementary Housing Fund,补充住房公积金基数,,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,,,,Gross,Salary,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
CN,2207,Payment,Social Security,SPHF EE,7,补充公积金个人,7,Supple. PHF EE,补充住房公积金个人部分,Supplementary Housing Fund employee contribution,补充住房公积金个人部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,,,,Gross,Salary,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,2208,Payment,Social Security,SPHF ER,7,补充公积金公司,7,Supple. PHF ER,补充住房公积金公司部分,Supplementary Housing Fund company contribution,补充住房公积金公司部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,,,,Gross,Salary,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,2209,Payment,Social Security,ASPHF EE,8,补充公积金个人调整,9,Adj Supple. PHF EE,补充住房公积金个人调整部分,Adjusted Supplementary Housing Fund employee contribution,补充住房公积金个人调整部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,X,,,Gross,Salary,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,2210,Payment,Social Security,ASPHF ER,8,补充公积金公司调整,9,Adj Supple. PHF ER,补充住房公积金公司调整部分,Adjusted Supplementary Housing Fund company contribution,补充住房公积金公司调整部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,X,,,Gross,Salary,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,2211,Store,Social Security,B/Pen,5,养老金基数,5,Pension base,养老金基数,Base for Pension,养老金基数,,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. pension insurance,,,+,Amount,,,,X,,,,,,Gross,Salary,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
CN,2212,Payment,Social Security,Pen EE,6,养老金个人,5,Pension EE contribution,养老金个人部分,Pension employee contribution,养老金个人部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. pension insurance,,,+,Amount,,,,X,,,,,,Gross,Salary,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,2213,Payment,Social Security,Pen ER,6,养老金公司,5,Pension ER contribution,养老金公司部分,Pension company contribution,养老金公司部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. pension insurance,,,+,Amount,,,,X,,,,,,Gross,Salary,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
